,,,,,,,
Código,Classificação,Grupo,Valor,% Partic,% Lucro,%% Vendas,Núm. Clientes
,,,,,,,Atendidos
10105,1.10.105.004.005,                      Polenta,"0,00","0,00","0,00","0,00",0
10106,1.10.105.005,                Farinaceos De Trigo,"6.228,91","1,46","25,63","0,02",0
10107,1.10.105.005.001,                      Farinha De Rosca,"2.769,10","44,46","28,24","0,01",216
10108,1.10.105.005.002,                      Trigo Para Kibe,"3.459,81","55,54","23,53","0,01",377
10109,1.10.105.006,                Farofa Pronta,"64.213,45","15,04","23,73","0,17",0
10110,1.10.105.006.001,                      Farofa Pronta Temperada,"37.623,16","58,59","24,50","0,10",4410
10111,1.10.105.006.002,                      Farofa Pronta Tradicional,"26.590,29","41,41","22,62","0,07",2955
10112,1.10.105.007,                Mistura,"4.357,55","1,02","17,16","0,01",0
10113,1.10.105.007.001,                      Empanar,"0,00","0,00","0,00","0,00",0
10114,1.10.105.007.002,                      Mistura Pao De Queijo,"2.838,01","65,13","17,07","0,01",189
10115,1.10.105.007.003,                      Mistura Para Pao,"429,84","9,86","10,66","0,00",44
10116,1.10.105.007.004,                      Pure,"0,00","0,00","0,00","0,00",0
10117,1.10.105.007.005,                      Semi Prontos,"1.089,70","25,01","19,95","0,00",44
10118,1.10.105.008,                Pipoca,"52.253,31","12,24","25,25","0,14",0
10119,1.10.105.008.001,                      Microondas Doce,"2.426,08","4,64","25,69","0,01",421
10120,1.10.105.008.002,                      Microondas Salgada,"12.849,56","24,59","24,82","0,03",1604
10121,1.10.105.008.003,                      Milho De Pipoca,"36.977,67","70,77","25,37","0,10",5388
10122,1.10.106,          Leite Longa Vida,"941.270,51","20,91","13,45","2,44",0
10123,1.10.106.001,                Leite Tradicional,"892.785,02","94,85","13,15","2,31",0
10124,1.10.106.001.001,                      Leite Longa Vida Desnatado,"19.740,81","2,21","9,51","0,05",1808
10125,1.10.106.001.002,                      Leite Longa Vida Integral,"852.665,64","95,51","13,27","2,21",44120
10126,1.10.106.001.003,                      Leite Longa Vida Semi Desnatado,"20.378,57","2,28","11,61","0,05",1586
10127,1.10.106.002,                Leites Especiais,"48.485,49","5,15","19,07","0,13",0
10128,1.10.106.002.001,                      Coagulante,"3.242,42","6,69","27,99","0,01",174
10129,1.10.106.002.002,                      Leite Enriquecido,"3.196,74","6,59","20,52","0,01",208
10130,1.10.106.002.003,                      Leite Vegetal,"0,00","0,00","0,00","0,00",0
10131,1.10.106.002.004,                      Leite Zero Lactose,"42.046,33","86,72","18,27","0,11",3007
10132,1.10.107,          Oleos,"596.319,63","13,25","9,78","1,55",0
10133,1.10.107.001,                Oleos Especiais,"24.757,68","4,15","22,80","0,06",0
10134,1.10.107.001.001,                      Oleo De Canola,"3.961,35","16,00","20,36","0,01",204
10135,1.10.107.001.002,                      Oleo De Girassol,"9.661,24","39,02","22,56","0,03",555
10136,1.10.107.001.003,                      Oleo De Milho,"9.388,76","37,92","24,48","0,02",436
10137,1.10.107.001.004,                      Outros Oleos Especiais,"1.746,33","7,05","20,65","0,01",49
10138,1.10.107.002,                Oleos Tradicionais,"571.561,95","95,85","9,22","1,48",0
10139,1.10.107.002.001,                      Oleo De Soja,"571.561,95","100,00","9,22","1,48",27253
10140,1.10.108,          Sal,"59.819,66","1,33","30,74","0,16",0
